type,n,deg,ple,T,d,s1,s2,s3,rep,time,branches,root_size,root_gap,root_time,lower,upper,solved,opt,adds,dels
grid,150,13,2.9,0.4,2,13017236,679234,90258464,2,601217,41,145,21,33025,653,678,0,1000000000,10224,0
grid,150,13,2.9,0.4,2,13017388,679386,90258616,3,600797,103,149,20,9865,613,629,0,1000000000,10253,0
grid,150,13,2.9,0.4,2,13017547,679545,90258775,4,600084,54,148,20,14964,661,684,0,1000000000,10230,0
grid,150,13,2.9,0.4,2,13017705,679703,90258933,5,600511,107,147,18,15647,620,636,0,1000000000,10225,0
grid,150,13,2.9,0.4,2,13017862,679860,90259090,6,601321,80,144,17,19967,677,692,0,1000000000,10207,0
grid,150,13,2.9,0.4,2,13018018,680016,90259246,7,602325,52,150,21,20629,686,707,0,1000000000,10192,0
grid,150,13,2.9,0.4,2,13018165,680163,90259393,8,600485,81,145,16,12979,627,645,0,1000000000,10204,0
grid,150,13,2.9,0.4,2,13018311,680309,90259539,9,600439,120,145,16,12108,617,638,0,1000000000,10211,0
grid,150,13,2.9,0.6,2,13018466,680464,90259694,0,601453,121,150,25,11534,670,695,0,1000000000,10194,0
grid,150,13,2.9,0.6,2,13018620,680618,90259848,1,600032,120,150,15,12605,673,688,0,1000000000,10174,0
grid,150,13,2.9,0.6,2,13018773,680771,90260001,2,601930,96,150,22,12606,664,686,0,1000000000,10191,0
grid,150,13,2.9,0.6,2,13018925,680923,90260153,3,600365,129,150,20,12242,675,695,0,1000000000,10210,0
grid,150,13,2.9,0.6,2,13019084,681082,90260312,4,600137,112,150,21,13359,660,681,0,1000000000,10222,0
grid,150,13,2.9,0.6,2,13019242,681240,90260470,5,600509,72,150,15,19239,692,707,0,1000000000,10178,0
grid,150,13,2.9,0.6,2,13019399,681397,90260627,6,600475,85,150,27,13183,688,715,0,1000000000,10190,0
grid,150,13,2.9,0.6,2,13019555,681553,90260783,7,600362,80,150,20,10865,676,696,0,1000000000,10197,0
grid,150,13,2.9,0.6,2,13019702,681700,90260930,8,600998,93,150,18,15139,687,705,0,1000000000,10170,0
grid,150,13,2.9,0.6,2,13019848,681846,90261076,9,601272,123,150,27,11244,688,715,0,1000000000,10205,0
grid,150,13,2.9,0.8,2,13020003,682001,90261231,0,602142,71,149,23,14532,681,698,0,1000000000,10228,0
grid,150,13,2.9,0.8,2,13020157,682155,90261385,1,601254,113,150,30,15620,715,745,0,1000000000,10203,0
grid,150,13,2.9,0.8,2,13020310,682308,90261538,2,600623,110,150,20,13251,692,712,0,1000000000,10219,0
grid,150,13,2.9,0.8,2,13020462,682460,90261690,3,601883,103,150,34,12912,716,750,0,1000000000,10178,0
grid,150,13,2.9,0.8,2,13020621,682619,90261849,4,600315,108,150,27,14305,709,736,0,1000000000,10208,0
grid,150,13,2.9,0.8,2,13020779,682777,90262007,5,601200,121,150,23,8772,689,712,0,1000000000,10209,0
grid,150,13,2.9,0.8,2,13020936,682934,90262164,6,600176,102,150,16,11517,702,718,0,1000000000,10176,0
grid,150,13,2.9,0.8,2,13021092,683090,90262320,7,600847,114,150,29,13267,705,734,0,1000000000,10201,0
grid,150,13,2.9,0.8,2,13021239,683237,90262467,8,602221,99,150,34,14618,707,741,0,1000000000,10216,0
grid,150,13,2.9,0.8,2,13021385,683383,90262613,9,600105,115,150,19,16412,710,729,0,1000000000,10192,0
