Graph,Algorithm,n,m,k,l,Permutation,Solved,MT,All Solutions,Time [s],Total Time [s],Time Initialization [s],Threads,Calls,Extra_lbs,Fallbacks,Prunes,Single,Skipped,Stolen,Solutions,Scaling Factor Time,Scaling Factor Calls,Speedup,Efficiency
heur165.gr,FPT-LS-MP,3388,601686,275614,3,0,False,False,False,212.629,2142.43,31.5844,1,81,8,40,33,0,0,0,0,1.11018,1.08,1,1
heur151.gr,FPT-LS-MP,2940,76493,33526,3,0,False,False,False,50.153,1105.73,5.9035,1,367,32,183,152,0,0,0,0,1.04751,1.13622,1,1
heur165.gr,FPT-LS-MP,3388,601686,275587,3,0,False,False,False,9.03541,61.8318,31.5844,1,3,1,1,1,0,0,0,0,1.17114,1,1,1
heur151.gr,FPT-LS-MP,2940,76493,33525,3,0,False,False,False,45.0301,1055.58,5.9035,1,323,31,161,131,0,0,0,0,1.04456,1.08754,1,1
heur165.gr,FPT-LS-MP,3388,601686,275584,3,0,False,False,False,4.5112,40.7683,31.5844,1,3,1,1,1,0,0,0,0,1.12442,1,1,1
heur151.gr,FPT-LS-MP,2940,76493,33524,3,0,False,False,False,41.9664,1010.55,5.9035,1,297,31,148,118,0,0,0,0,1.04333,1.02768,1,1
heur165.gr,FPT-LS-MP,3388,601686,275589,3,0,False,False,False,13.7551,89.3557,31.5844,1,5,2,2,1,0,0,0,0,1.18194,1,1,1
heur151.gr,FPT-LS-MP,2940,76493,33523,3,0,False,False,False,41.0159,968.582,5.9035,1,289,30,144,115,0,0,0,0,1.04422,1.00697,1,1
heur165.gr,FPT-LS-MP,3388,601686,275586,3,0,False,False,False,6.93303,52.7964,31.5844,1,3,1,1,1,0,0,0,0,1.15117,1,1,1
heur151.gr,FPT-LS-MP,2940,76493,33522,3,0,False,False,False,40.6359,927.566,5.9035,1,287,30,143,114,0,0,0,0,1.04582,1.05904,1,1
heur165.gr,FPT-LS-MP,3388,601686,275591,3,0,False,False,False,16.2518,120.661,31.5844,1,5,2,2,1,0,0,0,0,1.15566,1,1,1
heur151.gr,FPT-LS-MP,2940,76493,33521,3,0,False,False,False,38.6273,886.93,5.9035,1,271,29,135,107,0,0,0,0,1.04553,1.09717,1,1
heur165.gr,FPT-LS-MP,3388,601686,275588,3,0,False,False,False,13.7688,75.6006,31.5844,1,5,2,2,1,0,0,0,0,1.22268,1.66667,1,1
heur151.gr,FPT-LS-MP,2940,76493,33520,3,0,False,False,False,36.0179,848.303,5.9035,1,247,28,123,96,0,0,0,0,1.04434,1.05106,1,1
heur151.gr,FPT-LS-MP,2940,76493,33519,3,0,False,False,False,34.2356,812.285,5.9035,1,235,27,117,91,0,0,0,0,1.044,1,1,1
heur151.gr,FPT-LS-MP,2940,76493,33518,3,0,False,False,False,34.1204,778.049,5.9035,1,235,27,117,91,0,0,0,0,1.04586,1,1,1
heur151.gr,FPT-LS-MP,2940,76493,33517,3,0,False,False,False,34.0037,743.929,5.9035,1,235,27,117,91,0,0,0,0,1.0479,1,1,1
heur151.gr,FPT-LS-MP,2940,76493,33516,3,0,False,False,False,33.8579,709.925,5.9035,1,235,27,117,91,0,0,0,0,1.05008,1.00858,1,1
heur151.gr,FPT-LS-MP,2940,76493,33515,3,0,False,False,False,33.6603,676.067,5.9035,1,233,27,116,90,0,0,0,0,1.0524,1.19487,1,1
heur151.gr,FPT-LS-MP,2940,76493,33514,3,0,False,False,False,29.0105,642.407,5.9035,1,195,25,97,73,0,0,0,0,1.0473,1.06557,1,1
heur151.gr,FPT-LS-MP,2940,76493,33513,3,0,False,False,False,27.5358,613.396,5.9035,1,183,24,91,68,0,0,0,0,1.047,1.0339,1,1
heur151.gr,FPT-LS-MP,2940,76493,33512,3,0,False,False,False,26.7667,585.861,5.9035,1,177,23,88,66,0,0,0,0,1.04788,1.01143,1,1
heur151.gr,FPT-LS-MP,2940,76493,33511,3,0,False,False,False,26.7158,559.094,5.9035,1,175,22,87,66,0,0,0,0,1.05018,1.01156,1,1
heur165.gr,FPT-LS-MP,3388,601686,275598,3,0,False,False,False,35.5853,318.956,31.5844,1,7,2,3,2,0,0,0,0,1.12558,1,1,1
heur151.gr,FPT-LS-MP,2940,76493,33510,3,0,False,False,False,26.2826,532.378,5.9035,1,173,22,86,65,0,0,0,0,1.05193,1.02367,1,1
heur151.gr,FPT-LS-MP,2940,76493,33509,3,0,False,False,False,25.6035,506.095,5.9035,1,169,22,84,63,0,0,0,0,1.05328,1.06289,1,1
heur151.gr,FPT-LS-MP,2940,76493,33508,3,0,False,False,False,24.4405,480.492,5.9035,1,159,19,79,61,0,0,0,0,1.05359,1.03922,1,1
heur151.gr,FPT-LS-MP,2940,76493,33507,3,0,False,False,False,23.6997,456.051,5.9035,1,153,19,76,58,0,0,0,0,1.05481,1.01325,1,1
heur151.gr,FPT-LS-MP,2940,76493,33506,3,0,False,False,False,23.4366,432.352,5.9035,1,151,19,75,57,0,0,0,0,1.05732,1.04138,1,1
heur151.gr,FPT-LS-MP,2940,76493,33505,3,0,False,False,False,22.5643,408.915,5.9035,1,145,18,72,55,0,0,0,0,1.0584,1.01399,1,1
heur151.gr,FPT-LS-MP,2940,76493,33504,3,0,False,False,False,22.2725,386.351,5.9035,1,143,18,71,54,0,0,0,0,1.06118,1.01418,1,1
heur151.gr,FPT-LS-MP,2940,76493,33495,3,0,False,False,False,13.8349,218.446,5.9035,1,75,10,37,28,0,0,0,0,1.06762,1.36364,1,1
heur151.gr,FPT-LS-MP,2940,76493,33494,3,0,False,False,False,11.2478,204.611,5.9035,1,55,7,27,21,0,0,0,0,1.05817,1.12245,1,1
heur151.gr,FPT-LS-MP,2940,76493,33493,3,0,False,False,False,10.5217,193.363,5.9035,1,49,7,24,18,0,0,0,0,1.05755,1.04255,1,1
heur151.gr,FPT-LS-MP,2940,76493,33492,3,0,False,False,False,10.1266,182.841,5.9035,1,47,6,23,18,0,0,0,0,1.05863,1.09302,1,1
heur151.gr,FPT-LS-MP,2940,76493,33490,3,0,False,False,False,8.8496,163.313,5.9035,1,39,5,19,15,0,0,0,0,1.05729,1.11429,1,1
heur151.gr,FPT-LS-MP,2940,76493,33471,3,0,False,False,False,3.79416,53.188,5.9035,1,15,4,7,4,0,0,0,0,1.07681,1,1,1
