,Graph,n,m,k,Total Time [s],Solved,First bound,Time first bound [s],Star bound,Heuristic k
0,exact001.gr,11,11,3,2.6625e-05,True,3,9.306e-06,3,3
1,exact003.gr,21,73,42,0.00451877,True,36,3.8309e-05,36,42
2,exact005.gr,21,97,46,0.00251149,True,44,7.5271e-05,41,46
3,exact007.gr,31,147,86,0.0722553,True,73,0.000118639,74,86
4,exact009.gr,31,175,90,0.00747206,True,85,0.000171218,82,90
5,exact011.gr,31,291,81,0.00581626,True,81,0.00022333,81,81
6,exact013.gr,41,297,181,14.5015,True,148,0.000277048,160,181
7,exact015.gr,41,360,164,0.042857,True,160,0.000631796,156,164
8,exact017.gr,51,385,236,65.7985,True,192,0.000307412,211,236
9,exact019.gr,51,489,298,634.778,True,244,0.000373932,269,302
10,exact021.gr,51,872,322,0.0741618,True,322,0.00108889,314,322
11,exact023.gr,61,676,281,0.0582453,True,280,0.000693359,274,281
12,exact025.gr,61,1053,439,0.175036,True,439,0.00166513,432,439
13,exact027.gr,71,795,432,6.94235,True,393,0.000869701,409,432
14,exact029.gr,71,1011,509,0.463164,True,496,0.00209777,482,509
15,exact031.gr,71,1596,285,0.199255,True,285,0.00179237,285,285
16,exact033.gr,81,1348,672,0.711617,True,658,0.00258635,642,672
17,exact035.gr,81,1831,385,0.229974,True,385,0.00194319,384,385
18,exact037.gr,91,1330,703,300.065,True,641,0.0017992,662,703
19,exact039.gr,91,1456,665,0.710073,True,659,0.0025241,651,665
20,exact041.gr,91,2319,184,0.157049,True,184,0.00220592,184,184
21,exact043.gr,101,1624,899,2020.16,False,811,0.00137254,901,984
22,exact045.gr,101,1981,1066,2111.72,False,986,0.00416776,1010,1085
23,exact047.gr,101,3274,749,1.35708,True,749,0.00438182,749,749
24,exact049.gr,114,1896,854,0.668935,True,850,0.00455929,825,854
25,exact051.gr,121,2251,1219,2256.75,False,1125,0.0018032,1413,1624
26,exact053.gr,121,2588,1389,2041.98,False,1293,0.00399011,1355,1481
27,exact055.gr,121,3723,1410,17.5082,True,1393,0.0148867,1363,1410
28,exact057.gr,122,486,122,0.0103704,True,122,0.000344239,122,122
29,exact059.gr,122,2174,976,3.05384,True,962,0.00633063,936,976
30,exact061.gr,130,613,116,0.0154537,True,116,0.0004386,116,116
31,exact063.gr,130,2476,665,0.518737,True,665,0.00327689,656,665
32,exact065.gr,130,8112,128,0.084083,True,128,0.00229555,128,128
33,exact067.gr,140,2877,792,0.912521,True,791,0.00433283,789,792
34,exact069.gr,141,2915,1562,2111.0,False,1457,0.00256606,1858,2144
35,exact071.gr,141,4298,2131,747.399,True,2073,0.0179859,2034,2131
36,exact073.gr,141,5137,1612,7.23172,True,1612,0.0131153,1611,1612
37,exact075.gr,144,1191,132,0.0364307,True,132,0.00071977,132,132
38,exact077.gr,145,3089,78,0.0120444,True,78,0.000706409,78,78
39,exact079.gr,160,433,48,0.0027255,True,48,0.000190141,48,48
40,exact081.gr,160,3752,1882,2120.47,False,1784,0.00577232,1921,2042
41,exact083.gr,161,4259,2243,2172.44,False,2129,0.00359488,2621,2939
42,exact085.gr,161,5705,1047,2.54276,True,1045,0.0107032,1045,1047
43,exact087.gr,161,9200,3243,33.0887,True,3228,0.0323163,3139,3243
44,exact089.gr,172,1623,534,0.414091,True,530,0.00262809,525,534
45,exact091.gr,181,4602,2419,2170.77,False,2301,0.00356407,2856,3242
46,exact093.gr,181,6502,3373,2141.91,False,3251,0.00681492,3632,3842
47,exact095.gr,181,7945,358,0.819807,True,358,0.00778632,358,358
48,exact097.gr,185,468,95,0.0154424,True,92,0.000288777,92,95
49,exact099.gr,185,1367,644,2115.61,False,583,0.00170912,615,650
50,exact101.gr,201,6731,3490,2020.64,False,3365,0.00816964,3840,4198
51,exact103.gr,201,7081,3658,2053.95,False,3540,0.0108007,4122,4572
52,exact105.gr,201,12309,5320,82.4697,True,5304,0.0598539,5141,5320
53,exact107.gr,205,632,274,40.8405,True,238,0.000763914,258,274
54,exact109.gr,205,6212,2436,12.9828,True,2427,0.0207382,2402,2436
55,exact111.gr,205,12271,2412,14.7536,True,2412,0.0256453,2409,2412
56,exact113.gr,205,19608,999,6.54307,True,999,0.0229684,999,999
57,exact115.gr,212,1705,306,0.566444,True,299,0.0018336,302,306
58,exact117.gr,212,6633,2777,173.402,True,2720,0.0376177,2726,2777
59,exact119.gr,214,1826,184,0.0586864,True,184,0.00100384,184,184
60,exact121.gr,214,6773,742,2.48227,True,742,0.00871389,742,742
61,exact123.gr,215,2070,416,0.250353,True,416,0.00196051,416,416
62,exact125.gr,216,6896,1413,7.03035,True,1410,0.0309989,1411,1413
63,exact127.gr,217,3070,130,0.0300238,True,130,0.000981695,130,130
64,exact129.gr,217,6964,2211,12.2302,True,2210,0.0221315,2177,2211
65,exact131.gr,222,1091,386,7.18551,True,360,0.00124123,369,386
66,exact133.gr,222,18291,4836,61.3113,True,4836,0.079759,4814,4836
67,exact135.gr,233,3633,772,0.778114,True,772,0.00367678,769,772
68,exact137.gr,233,5578,16,0.000900467,True,16,0.000333985,16,16
69,exact139.gr,233,17300,5514,832.905,True,5490,0.118088,5451,5514
70,exact141.gr,251,1450,682,2020.74,False,616,0.00235699,662,698
71,exact143.gr,251,3813,1475,37.7496,True,1442,0.00873853,1419,1475
72,exact145.gr,251,6574,1761,4.74195,True,1760,0.0194353,1748,1761
73,exact147.gr,251,11421,3975,59.1571,True,3964,0.0777871,3863,3975
74,exact149.gr,251,22395,5807,134.117,True,5805,0.0932444,5794,5807
75,exact151.gr,251,29867,1258,18.1635,True,1258,0.0382258,1258,1258
76,exact153.gr,251,31119,6,0.00187804,True,6,0.0011356,6,6
77,exact155.gr,264,1295,63,0.00683694,True,63,0.00045472,63,63
78,exact157.gr,264,3422,1117,5.55886,True,1101,0.00828525,1091,1117
79,exact159.gr,264,20837,1483,14.1191,True,1483,0.0525812,1481,1483
80,exact161.gr,280,2000,333,0.611097,True,326,0.00246949,326,333
81,exact163.gr,280,5825,1538,4.32029,True,1536,0.011103,1522,1538
82,exact165.gr,280,24777,6094,210.722,True,6094,0.0804089,6093,6094
83,exact167.gr,301,14191,7235,2098.21,False,7095,0.0182676,8800,9866
84,exact169.gr,301,15456,7864,2038.29,False,7728,0.0177978,8635,9561
85,exact171.gr,301,25919,2901,112.261,True,2901,0.107213,2898,2901
86,exact173.gr,313,1764,100,0.0219329,True,99,0.000505307,100,100
87,exact175.gr,313,3516,557,0.845798,True,555,0.00338228,555,557
88,exact177.gr,314,14634,4089,281.737,True,4073,0.176393,4011,4089
89,exact179.gr,331,1370,620,2044.88,False,591,0.00283122,588,638
90,exact181.gr,331,3253,1445,2487.5,False,1406,0.00935274,1406,1577
91,exact183.gr,331,5613,2609,2269.93,False,2542,0.0247799,2528,2811
92,exact185.gr,347,1456,203,0.083661,True,200,0.000993147,202,203
93,exact187.gr,348,7500,3654,2139.85,False,3542,0.0268053,3663,3814
94,exact189.gr,348,31752,8563,2294.79,True,8549,0.380087,8505,8563
95,exact191.gr,401,31201,15757,2046.44,False,15600,0.0681567,16978,18427
96,exact193.gr,401,42153,20403,2068.1,False,20343,0.803665,19540,20429
97,exact195.gr,621,3992,2068,2009.97,False,1990,0.010724,2291,2557
98,exact197.gr,621,35188,14841,2071.36,False,14697,0.479717,15097,15831
