Graph,n,m,k,Total Time [s],Solved,First bound,Time first bound [s]
exact001.gr,11,11,3,2.6625e-05,True,3,9.306e-06
exact003.gr,21,73,42,0.00451877,True,36,3.8309e-05
exact005.gr,21,97,46,0.00251149,True,44,7.5271e-05
exact007.gr,31,147,86,0.0722553,True,73,0.000118639
exact009.gr,31,175,90,0.00747206,True,85,0.000171218
exact011.gr,31,291,81,0.00581626,True,81,0.00022333
exact013.gr,41,297,181,14.5015,True,148,0.000277048
exact015.gr,41,360,164,0.042857,True,160,0.000631796
exact017.gr,51,385,236,65.7985,True,192,0.000307412
exact019.gr,51,489,298,634.778,True,244,0.000373932
exact021.gr,51,872,322,0.0741618,True,322,0.00108889
exact023.gr,61,676,281,0.0582453,True,280,0.000693359
exact025.gr,61,1053,439,0.175036,True,439,0.00166513
exact027.gr,71,795,432,6.94235,True,393,0.000869701
exact029.gr,71,1011,509,0.463164,True,496,0.00209777
exact031.gr,71,1596,285,0.199255,True,285,0.00179237
exact033.gr,81,1348,672,0.711617,True,658,0.00258635
exact035.gr,81,1831,385,0.229974,True,385,0.00194319
exact037.gr,91,1330,703,300.065,True,641,0.0017992
exact039.gr,91,1456,665,0.710073,True,659,0.0025241
exact041.gr,91,2319,184,0.157049,True,184,0.00220592
exact043.gr,101,1624,899,2020.16,False,811,0.00137254
exact045.gr,101,1981,1066,2111.72,False,986,0.00416776
exact047.gr,101,3274,749,1.35708,True,749,0.00438182
exact049.gr,114,1896,854,0.668935,True,850,0.00455929
exact051.gr,121,2251,1219,2256.75,False,1125,0.0018032
exact053.gr,121,2588,1389,2041.98,False,1293,0.00399011
exact055.gr,121,3723,1410,17.5082,True,1393,0.0148867
exact057.gr,122,486,122,0.0103704,True,122,0.000344239
exact059.gr,122,2174,976,3.05384,True,962,0.00633063
exact061.gr,130,613,116,0.0154537,True,116,0.0004386
exact063.gr,130,2476,665,0.518737,True,665,0.00327689
exact065.gr,130,8112,128,0.084083,True,128,0.00229555
exact067.gr,140,2877,792,0.912521,True,791,0.00433283
exact069.gr,141,2915,1562,2111.0,False,1457,0.00256606
exact071.gr,141,4298,2131,747.399,True,2073,0.0179859
exact073.gr,141,5137,1612,7.23172,True,1612,0.0131153
exact075.gr,144,1191,132,0.0364307,True,132,0.00071977
exact077.gr,145,3089,78,0.0120444,True,78,0.000706409
exact079.gr,160,433,48,0.0027255,True,48,0.000190141
exact081.gr,160,3752,1882,2120.47,False,1784,0.00577232
exact083.gr,161,4259,2243,2172.44,False,2129,0.00359488
exact085.gr,161,5705,1047,2.54276,True,1045,0.0107032
exact087.gr,161,9200,3243,33.0887,True,3228,0.0323163
exact089.gr,172,1623,534,0.414091,True,530,0.00262809
exact091.gr,181,4602,2419,2170.77,False,2301,0.00356407
exact093.gr,181,6502,3373,2141.91,False,3251,0.00681492
exact095.gr,181,7945,358,0.819807,True,358,0.00778632
exact097.gr,185,468,95,0.0154424,True,92,0.000288777
exact099.gr,185,1367,644,2115.61,False,583,0.00170912
exact101.gr,201,6731,3490,2020.64,False,3365,0.00816964
exact103.gr,201,7081,3658,2053.95,False,3540,0.0108007
exact105.gr,201,12309,5320,82.4697,True,5304,0.0598539
exact107.gr,205,632,274,40.8405,True,238,0.000763914
exact109.gr,205,6212,2436,12.9828,True,2427,0.0207382
exact111.gr,205,12271,2412,14.7536,True,2412,0.0256453
exact113.gr,205,19608,999,6.54307,True,999,0.0229684
exact115.gr,212,1705,306,0.566444,True,299,0.0018336
exact117.gr,212,6633,2777,173.402,True,2720,0.0376177
exact119.gr,214,1826,184,0.0586864,True,184,0.00100384
exact121.gr,214,6773,742,2.48227,True,742,0.00871389
exact123.gr,215,2070,416,0.250353,True,416,0.00196051
exact125.gr,216,6896,1413,7.03035,True,1410,0.0309989
exact127.gr,217,3070,130,0.0300238,True,130,0.000981695
exact129.gr,217,6964,2211,12.2302,True,2210,0.0221315
exact131.gr,222,1091,386,7.18551,True,360,0.00124123
exact133.gr,222,18291,4836,61.3113,True,4836,0.079759
exact135.gr,233,3633,772,0.778114,True,772,0.00367678
exact137.gr,233,5578,16,0.000900467,True,16,0.000333985
